ORTSTEIL,GEMEINDE,BUNDESLAND,LAT,LON
Altenheim (Neuried),Neuried (Baden),Baden-Würtemberg,48.4649901,7.8098831902
Ichenheim,Neuried (Baden),Baden-Würtemberg,48.4334792,7.8105251
Wiechs (Schopfheim),Schopfheim,Baden-Würtemberg,47.6366807,7.813289
Nordweil,Kenzingen,Baden-Würtemberg,48.1925144,7.8150567
Betzenhausen,Freiburg im Breisgau,Baden-Würtemberg,48.0075465,7.815501
Dundenheim,Neuried (Baden),Baden-Würtemberg,48.4500403,7.8161537
Haslach (Freiburg),Freiburg im Breisgau,Baden-Würtemberg,47.9906144,7.8169345
Bombach (Kenzingen),Kenzingen,Baden-Würtemberg,48.1788279,7.8177598
Nordschwaben (Rheinfelden),Rheinfelden (Baden),Baden-Würtemberg,47.6187856,7.8178898
Gresgen,Zell im Wiesental,Baden-Würtemberg,47.711889,7.8188644
Langenwinkel,Lahr/Schwarzwald,Baden-Würtemberg,48.3323318,7.8225446
Vauban (Freiburg im Breisgau),Freiburg im Breisgau,Baden-Würtemberg,47.9763653,7.8236048
Goldscheuer,Kehl,Baden-Würtemberg,48.508866,7.8253778
Broggingen,Herbolzheim,Baden-Würtemberg,48.2187449,7.8293967
Bleichheim,Herbolzheim,Baden-Würtemberg,48.2081174,7.8305159
Auenheim (Kehl),Kehl,Baden-Würtemberg,48.6056968,7.8342137
Mundingen (Emmendingen),Emmendingen,Baden-Würtemberg,48.1356154,7.8361014
Heimbach (Teningen),Teningen,Baden-Würtemberg,48.1628082,7.8362718777
Hugsweier,Lahr/Schwarzwald,Baden-Würtemberg,48.3630504,7.8366199
Müllen (Neuried),Neuried (Baden),Baden-Würtemberg,48.4694692,7.8367168
Adelsberg (Zell im Wiesental),Zell im Wiesental,Baden-Würtemberg,47.7178696,7.8370952
Stühlinger,Freiburg im Breisgau,Baden-Würtemberg,47.9988801,7.8377315
Schutterzell,Neuried (Baden),Baden-Würtemberg,48.40208545,7.8395315816
Obermünstertal,Münstertal/Schwarzwald,Baden-Würtemberg,47.8700637,7.8414016245
Fahrnau,Schopfheim,Baden-Würtemberg,47.66065695,7.8416292086
Eichen (Schopfheim),Schopfheim,Baden-Würtemberg,47.64670995,7.8426477838
Brühl (Freiburg im Breisgau),Freiburg im Breisgau,Baden-Würtemberg,48.0168263,7.8429967
Neumühl (Kehl),Kehl,Baden-Würtemberg,48.5704137,7.8430575
Mietersheim,Lahr/Schwarzwald,Baden-Würtemberg,48.3307818,7.8435981
Wiehre,Freiburg im Breisgau,Baden-Würtemberg,47.9852867,7.8487755
Eckartsweier,Willstätt,Baden-Würtemberg,48.5293712,7.8537988
Leutesheim,Kehl,Baden-Würtemberg,48.6266794,7.8564824
Günterstal,Freiburg im Breisgau,Baden-Würtemberg,47.9667841,7.8567215
Münchweier,Ettenheim,Baden-Würtemberg,48.2487036,7.8568163
Wasser (Emmendingen),Emmendingen,Baden-Würtemberg,48.0984462,7.8571214
Dossenbach (Schwörstadt),Schwörstadt,Baden-Würtemberg,47615,7.8572783055
Wallburg (Ettenheim),Ettenheim,Baden-Würtemberg,48.2641844,7.8573999
Schmieheim,Kippenheim,Baden-Würtemberg,48.2786884,7.8578952
Zähringen (Freiburg),Freiburg im Breisgau,Baden-Würtemberg,48.0231488,7.8601394
Neuburg (Freiburg),Freiburg im Breisgau,Baden-Würtemberg,48.0002242,7.8608504
Sulz (Lahr),Lahr/Schwarzwald,Baden-Würtemberg,48.3106494,7.8612431
Raitbach,Schopfheim,Baden-Würtemberg,47.6825527,7.8615215
Hohnhurst,Kehl,Baden-Würtemberg,48.4929126,7.8624077
Herdern (Freiburg),Freiburg im Breisgau,Baden-Würtemberg,48.0078074,7.8626855
Schuttern,Friesenheim (Baden),Baden-Würtemberg,48.3814905,7.8631202
Oberau (Freiburg im Breisgau),Freiburg im Breisgau,Baden-Würtemberg,47.9902953,7.8677772
Pfaffenberg (Zell im Wiesental),Zell im Wiesental,Baden-Würtemberg,47.7346437,7.8699934
Bodersweier,Kehl,Baden-Würtemberg,48.6006939,7.8707271
Honau (Rheinau),Rheinau (Baden),Baden-Würtemberg,48.6404331,7.8717762
Atzenbach,Zell im Wiesental,Baden-Würtemberg,47.7140377,7.8719793
Ettenheimmünster,Ettenheim,Baden-Würtemberg,48.2430443,7.8753187
Wildtal,Gundelfingen (Breisgau),Baden-Würtemberg,48.0341207,7.8775995
Mambach (Zell im Wiesental),Zell im Wiesental,Baden-Würtemberg,47.7279496,7.8781592
Odelshofen,Kehl,Baden-Würtemberg,48.5576902,7.8799819
